ep,L,L_phys,L_ic,L_bc,L_tb,time
1,20.53435516357422,0.0751447081565857,0.5683900117874146,9.108531230594963e-05,0.14775219559669495,0.767589807510376
100,0.09982553124427795,2.2471017473435495e-06,0.009415673092007637,2.094633577698346e-09,5.6665503507247195e-05,33.06589603424072
200,0.09858768433332443,2.0612742446246557e-06,0.009267579764127731,1.667365800983589e-09,5.909822357352823e-05,64.41946244239807
300,0.0977960005402565,2.0085340111108962e-06,0.009170773439109325,1.4125760561256584e-09,6.086251596570946e-05,96.71757221221924
400,0.09744482487440109,2.005285068662488e-06,0.009132587350904942,1.3059553438665716e-09,6.116949225543067e-05,135.6660282611847
500,0.09726286679506302,2.007960802075104e-06,0.009114569053053856,1.2936516302630707e-09,6.115163705544546e-05,186.41025376319885
600,0.09714978188276291,2.011244987443206e-06,0.009103948250412941,1.3772538665079992e-09,6.108289380790666e-05,220.57599210739136
700,0.09706991165876389,2.015193103943602e-06,0.009096760302782059,1.5982626333510552e-09,6.100297105149366e-05,252.9477424621582
800,0.09700655937194824,2.0205761757097207e-06,0.009091352112591267,2.0728099237032893e-09,6.0910235333722085e-05,285.3442986011505
900,0.09694814682006836,2.029012421189691e-06,0.009086763486266136,3.137547333054158e-09,6.078477963455953e-05,317.19174122810364
1000,0.0968787670135498,2.0449708699743496e-06,0.009081993252038956,6.006928732205097e-09,6.0567886976059526e-05,348.5380177497864
1100,0.09675373882055283,2.085383812300279e-06,0.009074744768440723,1.7092771642523985e-08,6.0041933465981856e-05,379.73478412628174
1200,0.09632688760757446,2.2592575987800956e-06,0.009052790701389313,1.0300659170070503e-07,5.7966215535998344e-05,411.5041115283966
1300,0.09124796837568283,7.398051820928231e-06,0.008798803202807903,3.2868583730305545e-06,3.249249130021781e-05,442.97650027275085
1400,0.08225040137767792,0.00013663372374139726,0.008169412612915039,0.00023051105381455272,1.8912899122369708e-06,475.681578874588
1500,0.0106145478785038,0.0018406454473733902,0.0007283859304152429,8.967140274762642e-06,1.4810764696449041e-05,510.6476662158966
1600,0.006499782204627991,0.001113591599278152,0.0005172854289412498,2.0426412447704934e-05,1.929099880726426e-06,542.6745364665985
1700,0.004065495915710926,0.0008987848414108157,0.00030770222656428814,9.400740964338183e-06,8.028798674786231e-07,573.8298449516296
1800,0.0026651208754628897,0.000921023718547076,0.00015691871521994472,5.795458491775207e-06,1.6911460534174694e-06,605.7438910007477
1900,0.002244088565930724,0.0009252731106244028,0.00011256527795922011,3.5144832963851513e-06,1.8964810806210153e-06,637.287150144577
2000,0.0019851429387927055,0.0009268954745493829,8.558262197766453e-05,2.1959729110676562e-06,2.002253950195154e-06,669.1131200790405
2100,0.0018206455279141665,0.0009290777379646897,6.833253428339958e-05,1.4547287037203205e-06,2.067877176159527e-06,700.2544796466827
2200,0.0017143783625215292,0.0009310494642704725,5.715396036976017e-05,1.0225332971458556e-06,2.1076675693620928e-06,731.5707678794861
2300,0.0016437969170510769,0.0009325513965450227,4.977397475158796e-05,7.566308681816736e-07,2.127491598002962e-06,763.7262516021729
2400,0.0015948729123920202,0.0009337398805655539,4.474028537515551e-05,5.8421943549547e-07,2.131460178134148e-06,795.0638332366943
2500,0.001559108728542924,0.0009348146850243211,4.1148654418066144e-05,4.6703206635356764e-07,2.123403191944817e-06,826.620189666748
2600,0.0015315002528950572,0.0009358967072330415,3.8455462345154956e-05,3.8401179836000665e-07,2.1066491626697825e-06,857.7585849761963
2700,0.0015138874296098948,0.0009403324802406132,3.4960910852532834e-05,3.464729161350988e-07,2.2359940885507967e-06,889.0483508110046
2800,0.0015420065028592944,0.0008982399594970047,4.6812543587293476e-05,2.7738374797081633e-07,1.7536361838210723e-06,920.2809879779816
2900,0.0014767888933420181,0.0009350573527626693,3.305686550447717e-05,2.587520100405527e-07,2.1090411337354453e-06,956.8156878948212
3000,0.0014634216204285622,0.0009365003788843751,3.136833038297482e-05,2.3292562900678604e-07,2.1300502339727245e-06,989.8059411048889
